,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
28,Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985","University of California, Los Angeles"
29,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University
30,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University
31,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
32,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University
33,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University
34,Alexis Ajinca,2009,2017,C-F,7-2,248,"May 6, 1988",
35,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University
36,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State University, California State University, Fullerton"
37,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State University
38,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University
39,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University
40,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936","California State University, Fresno"
41,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",
42,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",University of Kansas
43,LaMarcus Aldridge,2007,2019,F-C,6-11,260,"July 19, 1985",University of Texas at Austin
44,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","University of Kentucky, University of Connecticut"
45,Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",University of Kansas
46,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",University of Virginia
47,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","University of Virginia, California State University, Fresno"
48,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",University of South Florida
49,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia University
50,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State University
51,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana University
52,Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",University of Arizona
53,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State University
54,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall University
55,Grayson Allen,2019,2019,G,6-5,198,"October 8, 1995",Duke University
56,Jarrett Allen,2018,2019,C-F,6-11,237,"April 21, 1998",University of Texas at Austin
57,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",University of Pennsylvania
58,Kadeem Allen,2018,2019,G,6-3,192,"January 15, 1993",University of Arizona
59,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple University
60,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947","University of California, Los Angeles"
61,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova University
62,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State University
63,Ray Allen*,1997,2014,G,6-5,205,"July 20, 1975",University of Connecticut
64,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State University"
65,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",University of Miami
66,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949","University of Nevada, Las Vegas"
67,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","University of Utah, Weber State University"
68,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958","University of California, Los Angeles"
69,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University
70,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne University
71,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976","California State University, Fresno"
72,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty University
73,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt University, Pennsylvania State University"
74,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois University
75,Al-Farouq Aminu,2011,2019,F,6-9,220,"September 21, 1990",Wake Forest University
76,Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982","University of Nevada, Las Vegas"
77,Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State University
78,Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
79,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",
80,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University
81,Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius College
82,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis
83,Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's University
84,Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College
85,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",University of Southern California
86,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State University, University of Kentucky"
87,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","University of Kentucky, University of Southern California"
88,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana University
89,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",University of Houston
90,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley University
91,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University
92,Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia University
93,Justin Anderson,2016,2019,G,6-6,230,"November 19, 1993",University of Virginia
94,Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Institute of Technology
95,Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",University of Missouri
96,Kyle Anderson,2015,2019,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles"
97,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel University
98,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",University of Illinois at Urbana-Champaign
99,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960","University of California, Santa Barbara"
100,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958","California State University, Fresno"
101,Ryan Anderson,2009,2019,F,6-10,240,"May 6, 1988",University of California
102,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia
103,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",University of Georgia
104,Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton University
105,Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",
106,Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State University
107,Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998","University of California, Los Angeles"
108,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",University of Alabama
109,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",
110,Giannis Antetokounmpo,2014,2019,F-G,6-11,242,"December 6, 1994",
111,Kostas Antetokounmpo,2019,2019,F,6-10,200,"November 20, 1997",University of Dayton
112,Thanasis Antetokounmpo,2016,2016,F,6-7,205,"July 17, 1992",
113,Carmelo Anthony,2004,2019,F,6-8,240,"May 29, 1984",Syracuse University
114,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, University of Nevada, Las Vegas"
115,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas"
116,Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",
117,OG Anunoby,2018,2019,F,6-8,232,"July 17, 1997",Indiana University
118,Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State University
119,Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University
120,Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State University
121,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",University of Illinois at Urbana-Champaign
122,Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",University of Texas at El Paso
123,Ryan Arcidiacono,2018,2019,G,6-3,200,"March 26, 1994",Villanova University
124,Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",University of Cincinnati
125,Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona
126,Trevor Ariza,2005,2019,F,6-8,215,"June 30, 1985","University of California, Los Angeles"
127,Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova University
128,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University
129,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",University of Iowa
130,Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State University
131,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine University
132,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana University
133,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
134,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut
135,Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke University
136,Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Pennsylvania State University
137,Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",University of Texas at Austin
138,Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",University of Notre Dame
139,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
140,Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",University of Kansas
141,John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane University
142,Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",University of Pittsburgh
143,Omer Asik,2011,2018,C,7-0,255,"July 4, 1986",
144,Vincent Askew,1988,1998,G-F,6-6,210,"February 28, 1966",University of Memphis
145,Keith Askins,1991,1999,G-F,6-7,197,"December 15, 1967",University of Alabama
146,Don Asmonga,1954,1954,G,6-2,185,"February 15, 1928",Alliance College
147,Dick Atha,1956,1958,G,6-2,190,"September 21, 1931",Indiana State University
148,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida
149,Al Attles*,1961,1971,G,6-0,175,"November 7, 1936",North Carolina Agricultural and Technical State University
150,Chet Aubuchon,1947,1947,G,5-10,137,"May 18, 1916",Michigan State University
151,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas"
152,D.J. Augustin,2009,2019,G,6-0,183,"November 10, 1987",University of Texas at Austin
153,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign
154,Isaac Austin,1992,2002,C,6-10,255,"August 18, 1969",Arizona State University
155,Johnny Austin,1967,1968,G,6-0,170,"August 31, 1944",Boston College
156,Ken Austin,1984,1984,F,6-9,205,"July 15, 1961",Rice University
157,Anthony Avent,1993,2000,F,6-9,235,"October 18, 1969",Seton Hall University
158,Bird Averitt,1974,1978,G,6-1,170,"July 22, 1952",Pepperdine University
159,William Avery,2000,2002,G,6-2,197,"August 8, 1979",Duke University
160,Dennis Awtrey,1971,1982,C,6-10,235,"February 22, 1948",Santa Clara University
161,Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",
162,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University
163,Deandre Ayton,2019,2019,C,7-1,250,"July 23, 1998",University of Arizona
164,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky
0,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990","Pennsylvania State University, Iowa State University"
1,Luke Babbitt,2011,2018,F,6-9,225,"June 20, 1989","University of Nevada, Reno"
2,Milos Babic,1991,1992,C-F,7-0,240,"November 23, 1968",Tennessee Technological University
3,Johnny Bach,1949,1949,F-G,6-2,180,"July 10, 1924",Fordham University
4,Dwayne Bacon,2018,2019,G,6-7,221,"August 30, 1995",Florida State University
5,Henry Bacon,1973,1973,G,6-3,205,"July 5, 1948",University of Louisville
6,Jim Baechtold,1953,1957,F-G,6-4,205,"December 9, 1927",Eastern Kentucky University
7,Dalibor Bagaric,2001,2003,C,7-1,255,"February 7, 1980",
8,John Bagley,1983,1994,G,6-0,185,"April 23, 1960",Boston College
9,Marvin Bagley,2019,2019,F,6-11,234,"March 14, 1999",Duke University
10,Carl Bailey,1982,1982,C,7-0,210,"April 23, 1958",Tuskegee University
11,Gus Bailey,1975,1980,G-F,6-5,185,"February 18, 1951",University of Texas at El Paso
12,James Bailey,1980,1988,F-C,6-9,220,"May 21, 1957",Rutgers University
13,Thurl Bailey,1984,1999,F-C,6-11,215,"April 7, 1961",North Carolina State University
14,Toby Bailey,1999,2000,G,6-6,213,"November 19, 1975","University of California, Los Angeles"
15,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico
16,Jimmie Baker,1976,1976,F,6-9,220,"December 25, 1953",University of Hawaii
17,LaMark Baker,1999,1999,G,6-1,175,"November 11, 1969",Ohio State University
18,Maurice Baker,2005,2005,G,6-1,175,"July 28, 1979",Oklahoma State University
19,Norm Baker,1947,1947,G,6-0,180,"February 17, 1923",
20,Ron Baker,2017,2019,G,6-4,220,"March 30, 1993",Wichita State University
21,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
22,Wade Baldwin,2017,2019,G,6-4,200,"March 29, 1996",Vanderbilt University
23,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina
24,Cedric Ball,1991,1991,F,6-8,210,"April 16, 1968",University of North Carolina at Charlotte
25,Lonzo Ball,2018,2019,G,6-6,190,"October 27, 1997","University of California, Los Angeles"
26,Greg Ballard,1978,1989,F,6-7,215,"January 29, 1955",University of Oregon
27,Herschel Baltimore,1947,1947,F,6-4,195,"June 21, 1921",Pennsylvania State University
28,Mohamed Bamba,2019,2019,C,7-0,221,"May 12, 1998",University of Texas at Austin
29,Gene Banks,1982,1987,F-G,6-7,215,"May 15, 1959",Duke University
30,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas"
31,Walker Banks,1971,1971,C,6-10,205,"August 26, 1947",Western Kentucky University
32,Ken Bannister,1985,1991,F-C,6-9,235,"April 1, 1960","Indiana State University, Saint Augustine's College"
33,Mike Bantom,1974,1982,F-C,6-9,200,"December 3, 1951",Saint Joseph's University
34,John Barber,1957,1957,F,6-6,210,"June 27, 1927","California State University, Los Angeles"
35,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",
36,Steve Bardo,1992,1996,G,6-5,190,"April 5, 1968",University of Illinois at Urbana-Champaign
37,J.J. Barea,2007,2019,G,6-0,185,"June 26, 1984",Northeastern University
38,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
39,Cliff Barker,1950,1952,G,6-2,185,"January 15, 1921",University of Kentucky
40,Tom Barker,1977,1979,C-F,6-11,225,"March 11, 1955",University of Hawaii
41,Charles Barkley*,1985,2000,F,6-6,252,"February 20, 1963",Auburn University
42,Erick Barkley,2001,2002,G,6-1,177,"February 21, 1978",St. John's University
43,Don Barksdale*,1952,1955,F-C,6-6,200,"March 31, 1923","University of California, Los Angeles"
44,Harrison Barnes,2013,2019,F,6-8,225,"May 30, 1992",University of North Carolina
45,Harry Barnes,1969,1969,F,6-3,205,"July 25, 1945",Northeastern University
46,Jim Barnes,1965,1971,C-F,6-8,210,"April 13, 1941",University of Texas at El Paso
47,Marvin Barnes,1975,1980,F-C,6-8,210,"July 27, 1952",Providence College
48,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles"
49,Dick Barnett,1960,1974,G-F,6-4,190,"October 2, 1936",Tennessee State University
50,Jim Barnett,1967,1977,G-F,6-4,170,"July 7, 1944",University of Oregon
51,Nathaniel Barnett,1976,1976,G,6-3,175,"January 29, 1953",University of Akron
52,John Barnhill,1963,1972,G,6-1,180,"March 20, 1938",Tennessee State University
53,Norton Barnhill,1977,1977,G,6-4,205,"July 15, 1953",Washington State University
54,Leo Barnhorst,1950,1954,F-G,6-4,190,"May 11, 1924",University of Notre Dame
55,John Barr,1947,1947,F,6-3,205,"August 8, 1918",Pennsylvania State University
56,Mike Barr,1973,1977,G,6-3,180,"October 19, 1950",Duquesne University
57,Moe Barr,1971,1971,G,6-4,195,"June 19, 1944",Duquesne University
58,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University
59,Ernie Barrett,1954,1956,G-F,6-3,180,"August 27, 1929",Kansas State University
60,Mike Barrett,1970,1973,G,6-2,155,"September 5, 1943",West Virginia University Institute of Technology
61,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis
62,Dana Barros,1990,2004,G,5-11,163,"April 13, 1967",Boston College
63,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University
64,Drew Barry,1998,2000,G,6-5,191,"February 17, 1973",Georgia Institute of Technology
65,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969","University of the Pacific, Georgia Institute of Technology"
66,Rick Barry*,1966,1980,F,6-7,205,"March 28, 1944",University of Miami
67,Ed Bartels,1950,1951,F,6-5,195,"October 8, 1925",North Carolina State University
68,Vic Bartolome,1972,1972,C,7-0,230,"September 29, 1948",Oregon State University
69,Will Barton,2013,2019,G,6-6,190,"January 6, 1991",University of Memphis
70,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte
71,Jerry Baskerville,1976,1976,F,6-7,190,"November 10, 1951",Temple University
72,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University
73,Tim Bassett,1974,1980,F-C,6-8,225,"April 1, 1951",University of Georgia
74,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan
75,Mengke Bateer,2002,2004,C,6-11,290,"November 20, 1975",
76,Billy Ray Bates,1980,1983,G,6-4,210,"May 31, 1956",Kentucky State University
77,Keita Bates-Diop,2019,2019,F,6-9,229,"January 23, 1996",Ohio State University
78,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",
79,Mike Batiste,2003,2003,F,6-8,225,"November 21, 1977",Arizona State University
80,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University
81,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University
82,John Battle,1986,1995,G,6-2,175,"November 9, 1962",Rutgers University
83,Kenny Battle,1990,1993,F,6-6,210,"October 10, 1964","Northern Illinois University, University of Illinois at Urbana-Champaign"
84,Dave Batton,1983,1984,C,6-10,240,"March 26, 1956",University of Notre Dame
85,Lloyd Batts,1975,1975,G-F,6-4,185,"May 9, 1951",University of Cincinnati
86,Nicolas Batum,2009,2019,F-G,6-8,200,"December 14, 1988",
87,Johnny Baum,1970,1974,F,6-5,200,"June 17, 1946",Temple University
88,Frankie Baumholtz,1947,1947,G,5-10,170,"October 7, 1918",Ohio University
89,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland
90,Jerryd Bayless,2009,2019,G,6-3,200,"August 20, 1988",University of Arizona
91,Elgin Baylor*,1959,1972,F,6-5,225,"September 16, 1934","Albertson College of Idaho, Seattle University"
92,Howard Bayne,1968,1968,F,6-6,235,"July 28, 1942",University of Tennessee
93,Aron Baynes,2013,2019,C,6-10,260,"December 9, 1986",Washington State University
94,Sergei Bazarevich,1995,1995,G,6-2,168,"March 16, 1965",
95,Kent Bazemore,2013,2019,G-F,6-5,201,"July 1, 1989",Old Dominion University
96,Ed Beach,1951,1951,F,6-3,200,"January 25, 1929",West Virginia University
97,Bradley Beal,2013,2019,G,6-5,207,"June 28, 1993",University of Florida
98,Al Beard,1968,1968,C,6-9,200,"April 27, 1942",Norfolk State University
99,Butch Beard,1970,1979,G,6-3,185,"May 4, 1947",University of Louisville
100,Ralph Beard,1950,1951,G,5-10,175,"December 2, 1927",University of Kentucky
101,Charles Beasley,1968,1971,G-F,6-5,190,"September 23, 1945",Southern Methodist University
102,Jerome Beasley,2004,2004,F,6-10,237,"May 17, 1980","Midland College, University of North Dakota"
103,John Beasley,1968,1974,F-C,6-9,225,"February 5, 1944",Texas A&M University
104,Malik Beasley,2017,2019,G,6-5,195,"November 26, 1996",Florida State University
105,Michael Beasley,2009,2019,F,6-9,235,"January 9, 1989",Kansas State University
106,Zelmo Beaty*,1963,1975,C,6-9,225,"October 25, 1939",Prairie View A&M University
107,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",
108,Byron Beck,1968,1977,C-F,6-9,225,"January 25, 1945",University of Denver
109,Corey Beck,1996,1999,G,6-1,190,"May 27, 1971","South Plains College, University of Arkansas"
110,Ernie Beck,1954,1961,G-F,6-4,190,"December 11, 1931",University of Pennsylvania
111,Arthur Becker,1968,1973,F,6-7,205,"January 12, 1942",Arizona State University
112,Moe Becker,1947,1947,G-F,6-1,185,"February 24, 1917",Duquesne University
113,Bob Bedell,1968,1971,F,6-7,205,"June 26, 1944",Stanford University
114,William Bedford,1987,1993,C,7-0,225,"December 14, 1963",University of Memphis
115,Hank Beenders,1947,1949,C-F,6-6,185,"June 2, 1916",Long Island University
116,Ron Behagen,1974,1980,F-C,6-9,185,"January 14, 1951",University of Minnesota
117,Elmer Behnke,1952,1952,C,6-7,210,"February 3, 1929",Bradley University
118,Marco Belinelli,2008,2019,G-F,6-5,210,"March 25, 1986",
119,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University
120,Dennis Bell,1974,1976,F,6-5,185,"June 2, 1951",Drake University
121,Jordan Bell,2018,2019,F,6-9,224,"January 7, 1995",University of Oregon
122,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976","Boston University, Florida International University"
123,Troy Bell,2004,2004,G,6-1,180,"November 10, 1980",Boston College
124,Whitey Bell,1960,1961,G,6-0,180,"September 13, 1932",North Carolina State University
125,Walt Bellamy*,1962,1975,C,6-11,225,"July 24, 1939",Indiana University
126,DeAndre' Bembry,2017,2019,F,6-6,210,"July 4, 1994",Saint Joseph's University
127,Irv Bemoras,1954,1957,F-G,6-3,185,"November 18, 1930",University of Illinois at Urbana-Champaign
128,Leon Benbow,1975,1976,G,6-4,185,"July 23, 1950",Jacksonville University
129,Dragan Bender,2017,2019,F,7-1,225,"November 17, 1997",
130,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
131,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991","Georgetown University, Towson University"
132,Benoit Benjamin,1986,2000,C,7-0,250,"November 22, 1964",Creighton University
133,Corey Benjamin,1999,2003,G,6-6,200,"February 24, 1978",Oregon State University
134,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas"
135,Elmer Bennett,1995,1997,G,6-0,170,"February 13, 1970",University of Notre Dame
136,Mario Bennett,1996,2000,F,6-6,235,"August 1, 1973",Arizona State University
137,Mel Bennett,1976,1982,F,6-7,200,"January 4, 1955",University of Pittsburgh
138,Spider Bennett,1969,1969,G,6-3,190,"August 4, 1943",Winston-Salem State University
139,Tony Bennett,1993,1995,G,6-0,175,"June 1, 1969",University of Wisconsin-Green Bay
140,Winston Bennett,1990,1992,F,6-7,210,"February 9, 1965",University of Kentucky
141,David Benoit,1992,2001,F,6-8,220,"May 9, 1968",University of Alabama
142,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University
143,Kent Benson,1978,1988,C,6-10,235,"December 27, 1954",Indiana University
144,Ben Bentil,2017,2017,F,6-9,235,"March 29, 1995",Providence College
145,Gene Berce,1950,1950,G-F,5-11,175,"November 22, 1926",Marquette University
146,Gary Bergen,1957,1957,C,6-8,210,"July 16, 1932",University of Utah
147,Larry Bergh,1970,1970,F,6-8,210,"April 2, 1945",Weber State University
148,Ricky Berry,1989,1989,F,6-8,205,"October 6, 1964","Oregon State University, San Jose State University"
149,Walter Berry,1987,1989,F,6-8,215,"May 14, 1964",St. John's University
150,Dairis Bertans,2019,2019,G,6-4,200,"September 9, 1989",
151,Davis Bertans,2017,2019,F,6-10,225,"November 12, 1992",
152,Del Beshore,1979,1980,G,5-11,165,"November 29, 1956",California University of Pennslyvania
153,Travis Best,1996,2005,G,5-11,182,"July 12, 1972",Georgia Institute of Technology
154,Patrick Beverley,2013,2019,G,6-1,185,"July 12, 1988",University of Arkansas
155,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University
156,Wesley Bialosuknia,1968,1968,G,6-2,185,"June 8, 1945",University of Connecticut
157,Al Bianchi,1957,1966,G,6-3,185,"March 26, 1932",Bowling Green State University
158,Hank Biasatti,1947,1947,G,5-11,175,"January 14, 1922",Long Island University
159,Henry Bibby,1973,1981,G,6-1,185,"November 24, 1949","University of California, Los Angeles"
160,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona
161,Ed Biedenbach,1969,1969,G,6-1,175,"August 12, 1945",North Carolina State University
162,Andris Biedrins,2005,2014,C,6-11,240,"April 2, 1986",
163,Don Bielke,1956,1956,C,6-7,240,,Valparaiso University
164,Bob Bigelow,1976,1979,F-G,6-7,215,"December 26, 1953",University of Pennsylvania
165,Lionel Billingy,1975,1975,F-C,6-9,215,"August 31, 1952",Duquesne University
